locationGroup,locationTier1,locationTier2,locationTier3,locationTier4,locationTier5
Dog - TLAC Kennel,Dog,TLAC,Building 4/5,Kennel 26,
Dog - TLAC Kennel,Dog,TLAC,Building 4/5,Kennel 27,
Dog - TLAC Kennel,Dog,TLAC,Building 4/5,Kennel 28,
Dog - TLAC Kennel,Dog,TLAC,Building 4/5,Kennel 29,
Dog - TLAC Kennel,Dog,TLAC,Building 4/5,Kennel 30,
Dog - TLAC Kennel,Dog,TLAC,Building 4/5,Kennel 31,
Dog - TLAC Kennel,Dog,TLAC,Building 4/5,Kennel 32,
Dog - TLAC Kennel,Dog,TLAC,Building 4/5,Kennel 33,
Dog - TLAC Kennel,Dog,TLAC,Building 4/5,Kennel 34,
Dog - TLAC Kennel,Dog,TLAC,Building 4/5,Kennel 35,
Dog - TLAC Kennel,Dog,TLAC,Building 4/5,Kennel 36,
Dog - TLAC Kennel,Dog,TLAC,Building 4/5,Kennel 37,
Dog - TLAC Kennel,Dog,TLAC,Building 4/5,Kennel 38,
Dog - TLAC Kennel,Dog,TLAC,Building 4/5,Kennel 39,
Dog - TLAC Kennel,Dog,TLAC,Building 4/5,Kennel 40,
Dog - TLAC Kennel,Dog,TLAC,Building 4/5,Kennel 41,
Dog - TLAC Kennel,Dog,TLAC,Building 4/5,Kennel 42,
Dog - TLAC Kennel,Dog,TLAC,Building 4/5,Kennel 43,
Dog - TLAC Kennel,Dog,TLAC,Building 4/5,Kennel 44,
Dog - TLAC Kennel,Dog,TLAC,Building 4/5,Kennel 45,
Dog - TLAC Kennel,Dog,TLAC,Building 4/5,Kennel 46,
Dog - TLAC Kennel,Dog,TLAC,Building 4/5,Kennel 47,
Dog - TLAC Kennel,Dog,TLAC,Building 4/5,Kennel 48,
Dog - TLAC Kennel,Dog,TLAC,Building 4/5,Kennel 49,
Dog - TLAC Kennel,Dog,TLAC,Building 4/5,Kennel 50,
Dog - TLAC Kennel,Dog,TLAC,Building 4/5,Kennel 51,
Dog - TLAC Kennel,Dog,TLAC,Building 4/5,Kennel 52,
Dog - TLAC Kennel,Dog,TLAC,Building 4/5,Kennel 53,
Dog - TLAC Kennel,Dog,TLAC,Building 4/5,Kennel 54,
Dog - TLAC Kennel,Dog,TLAC,Building 4/5,Kennel 55,
Dog - TLAC Kennel,Dog,TLAC,Building 4/5,Kennel 56,
Dog - TLAC Kennel,Dog,TLAC,Building 4/5,Kennel 57,
Dog - TLAC Kennel,Dog,TLAC,Building 4/5,Kennel 58,
Dog - TLAC Kennel,Dog,TLAC,Building 4/5,Kennel 59,
Dog - TLAC Kennel,Dog,TLAC,Building 4/5,Kennel 60,
TLAC Office,Dog,TLAC,Building B,,
Dog - Cabin,Dog,TLAC,Cabin 1,,
Dog - Cabin,Dog,TLAC,Cabin 2,,
Dog - Cabin,Dog,TLAC,Cabin 3,,
Clinic - ISO,Dog,TLAC,Contagious ISO,,
Dog - TLAC Kennel,Dog,TLAC,D Kennels,,
Dog - TLAC Kennel,Dog,TLAC,D Kennels,ISO 1,
Dog - TLAC Kennel,Dog,TLAC,D Kennels,ISO 10,
Dog - TLAC Kennel,Dog,TLAC,D Kennels,ISO 2,
Dog - TLAC Kennel,Dog,TLAC,D Kennels,ISO 3,
Dog - TLAC Kennel,Dog,TLAC,D Kennels,ISO 4,
Dog - TLAC Kennel,Dog,TLAC,D Kennels,ISO 5,
Dog - TLAC Kennel,Dog,TLAC,D Kennels,ISO 6,
Dog - TLAC Kennel,Dog,TLAC,D Kennels,ISO 7,
Dog - TLAC Kennel,Dog,TLAC,D Kennels,ISO 8,
Dog - TLAC Kennel,Dog,TLAC,D Kennels,ISO 9,
Dog - Cabin,Dog,TLAC,DBFU Trailer,,
Dog - TLAC Kennel,Dog,TLAC,DKennels,,
TLAC Office,Dog,TLAC,Davenport,Accounting Office (101),
TLAC Office,Dog,TLAC,Davenport,CEO Office (105),
TLAC Office,Dog,TLAC,Davenport,Development Office (99),
TLAC Office,Dog,TLAC,Davenport,Directors/Floater Office (97),
TLAC Office,Dog,TLAC,Davenport,Dog Foster Office (97),
TLAC Office,Dog,TLAC,Davenport,Facilities Office (108),
TLAC Office,Dog,TLAC,Davenport,Facilities Office (NO DOGS) (108),
TLAC Office,Dog,TLAC,Davenport,Mar-Com Office (101),
TLAC Office,Dog,TLAC,Davenport,Mar-Com Office (104),
TLAC Office,Dog,TLAC,Davenport,Meeting Room 3,
TLAC Office,Dog,TLAC,Davenport,Meeting Room 4,
TLAC Office,Dog,TLAC,Davenport,Meeting Room 5,
TLAC Office,Dog,TLAC,Davenport,Operations Office (102),
TLAC Office,Dog,TLAC,Davenport,Philanthropy Office (99),
TLAC Office,Dog,TLAC,Davenport,Placement Office (97),
TLAC Office,Dog,TLAC,Davenport,Senior Ops Office (106),
TLAC Office,Dog,TLAC,Davenport,Senior Ops Office (96),
TLAC Office,Dog,TLAC,Davenport,Volunteer Team Office (107),
TLAC Office,Dog,TLAC,Development Office - Directors,,
TLAC Office,Dog,TLAC,Development Office - Maggie,,
TLAC Office,Dog,TLAC,Development Office - Staff,,
TLAC Office,Dog,TLAC,Dog Foster Office,,
Clinic - ISO,Dog,TLAC,Dog ISO,,
Clinic - ISO,Dog,TLAC,Dog Pods,,
Clinic - ISO,Dog,TLAC,Dog Pods,Dog Pod 1,
Clinic - ISO,Dog,TLAC,Dog Pods,Dog Pod 2,
Clinic - ISO,Dog,TLAC,Dog Pods,Dog Pod 3,
Clinic - ISO,Dog,TLAC,Dog Pods,Dog Pod 4,
Clinic - ISO,Dog,TLAC,Dog Pods,Pop-Up A,
Clinic - ISO,Dog,TLAC,Dog Pods,Pop-Up B,
Clinic - ISO,Dog,TLAC,Dog Pods,Pop-Up C,
Clinic - ISO,Dog,TLAC,Dog Pods,Pop-Up D,
Clinic - ISO,Dog,TLAC,Dog Pods,Pop-Up E,
Clinic - ISO,Dog,TLAC,Dog Pods,Pop-Up F,
Clinic - ISO,Dog,TLAC,Dog Pods,Pop-Up G,
TLAC Office,Dog,TLAC,Dog team office,,
TLAC Office,Dog,TLAC,Ellen's Office,,
TLAC Office,Dog,TLAC,Finance and Operations Office,,
TLAC Office,Dog,TLAC,Former Ringworm Ward,,
TLAC Office,Dog,TLAC,HR Office,,
Dog - TLAC Kennel,Dog,TLAC,ISO,,
TLAC Office,Dog,TLAC,Large Conference Room,,
TLAC Office,Dog,TLAC,Liferoom,,
TLAC Office,Dog,TLAC,MOD Office,,
TLAC Office,Dog,TLAC,MOD Office - Dog,,
TLAC Office,Dog,TLAC,Maddie's Fund Office,,
TLAC Office,Dog,TLAC,Maddie's Office,,
TLAC Office,Dog,TLAC,Mar-Com Office,,
Clinic - Maternity,Dog,TLAC,Maternity Ward,,
Clinic - Maternity,Dog,TLAC,Maternity Ward,Large,
Clinic - Maternity,Dog,TLAC,Maternity Ward,Room 1,
Clinic - Maternity,Dog,TLAC,Maternity Ward,Room 2,
Clinic - Maternity,Dog,TLAC,Maternity Ward,Small,
Dog - TLAC Kennel,Dog,TLAC,Medical Recovery,,
Clinic,Dog,TLAC,Medical Suite,,
Clinic,Dog,TLAC,Medical Suite (Clinic),,
TLAC Office,Dog,TLAC,Meeting Room 1,,
TLAC Office,Dog,TLAC,Meeting Room 3,,
TLAC Office,Dog,TLAC,Meeting Room 4,,
TLAC Office,Dog,TLAC,Meeting Room 5,,
TLAC Office,Dog,TLAC,Mike's Office,,
TLAC Office,Dog,TLAC,Off-site office,,
TLAC Office,Dog,TLAC,Operations Office,,
Clinic - Parvo,Dog,TLAC,Parvo,,
Clinic - Parvo,Dog,TLAC,Parvo,Hallway,Popup
Clinic - Parvo,Dog,TLAC,Parvo,Parvo waiting to be assigned,
Clinic - Parvo,Dog,TLAC,Parvo,Ward 1,Cage 1
Clinic - Parvo,Dog,TLAC,Parvo,Ward 1,Cage 2
Clinic - Parvo,Dog,TLAC,Parvo,Ward 1,Cage 3
Clinic - Parvo,Dog,TLAC,Parvo,Ward 1,Cage 4
Clinic - Parvo,Dog,TLAC,Parvo,Ward 1,Cage 5
Clinic - Parvo,Dog,TLAC,Parvo,Ward 1,Cage 6
Clinic - Parvo,Dog,TLAC,Parvo,Ward 1,Cage 7
Clinic - Parvo,Dog,TLAC,Parvo,Ward 1,Cage 8
Clinic - Parvo,Dog,TLAC,Parvo,Ward 1,Cage 9
Clinic - Parvo,Dog,TLAC,Parvo,Ward 1,Popup
Clinic - Parvo,Dog,TLAC,Parvo,Ward 1,Run A
Clinic - Parvo,Dog,TLAC,Parvo,Ward 1,Run B
Clinic - Parvo,Dog,TLAC,Parvo,Ward 1,Run C
Clinic - Parvo,Dog,TLAC,Parvo,Ward 1,Run D
Clinic - Parvo,Dog,TLAC,Parvo,Ward 1,Run E
Clinic - Parvo,Dog,TLAC,Parvo,Ward 1,Run F
Clinic - Parvo,Dog,TLAC,Parvo,Ward 2,
Clinic - Parvo,Dog,TLAC,Parvo,Ward 2,Cage 1
Clinic - Parvo,Dog,TLAC,Parvo,Ward 2,Cage 10
Clinic - Parvo,Dog,TLAC,Parvo,Ward 2,Cage 2
Clinic - Parvo,Dog,TLAC,Parvo,Ward 2,Cage 3
Clinic - Parvo,Dog,TLAC,Parvo,Ward 2,Cage 4
Clinic - Parvo,Dog,TLAC,Parvo,Ward 2,Cage 5
Clinic - Parvo,Dog,TLAC,Parvo,Ward 2,Cage 6
Clinic - Parvo,Dog,TLAC,Parvo,Ward 2,Cage 7
Clinic - Parvo,Dog,TLAC,Parvo,Ward 2,Cage 8
Clinic - Parvo,Dog,TLAC,Parvo,Ward 2,Cage 9
Clinic - Parvo,Dog,TLAC,Parvo,Ward 2,Panleuk 3
Clinic - Parvo,Dog,TLAC,Parvo,Ward 2,Panleuk 1
Clinic - Parvo,Dog,TLAC,Parvo,Ward 2,Panleuk 2
Clinic - Parvo,Dog,TLAC,Parvo,Ward 2,Panleuk 4
Clinic - Parvo,Dog,TLAC,Parvo,Ward 2,Popup
Clinic - Parvo,Dog,TLAC,Parvo,Ward 3,
Clinic - Parvo,Dog,TLAC,Parvo,Ward 3,Cage 1
Clinic - Parvo,Dog,TLAC,Parvo,Ward 3,Cage 2
Clinic - Parvo,Dog,TLAC,Parvo,Ward 3,Cage 3
Clinic - Parvo,Dog,TLAC,Parvo,Ward 3,Cage 4
Clinic - Parvo,Dog,TLAC,Parvo,Ward 3,Cage 5
Clinic - Parvo,Dog,TLAC,Parvo,Ward 3,Cage 6
Clinic - Parvo,Dog,TLAC,Parvo,Ward 3,Cage 7
Clinic - Parvo,Dog,TLAC,Parvo,Ward 3,Cage 8
Clinic - Parvo,Dog,TLAC,Parvo,Ward 3,Popup
Clinic - Parvo,Dog,TLAC,Parvo,Ward 3,Stall Run
RO Kennel,Dog,TLAC,RO Area,,
RO Kennel,Dog,TLAC,RO Area,Kennel 922,
RO Kennel,Dog,TLAC,RO Area,Kennel 924,
RO Kennel,Dog,TLAC,RO Area,Kennel 926,
RO Kennel,Dog,TLAC,RO Area,Kennel 928,
RO Kennel,Dog,TLAC,RO Area,Kennel 930,
RO Kennel,Dog,TLAC,RO Area,Kennel 932,
RO Kennel,Dog,TLAC,RO Area,Kennel 934,
TLAC Office,Dog,TLAC,Small Conference Room,,
TLAC Office,Dog,TLAC,Volunteer Coordinator Office,,
Dog - TT,Dog,Tarrytown,Lobby,,
Dog - TT,Dog,Tarrytown,Run 1,,
Dog - TT,Dog,Tarrytown,Run 2,,
Dog - TT,Dog,Tarrytown,Run 3,,
Dog - TT,Dog,Tarrytown,Run 4,,
Clinic - ISO,Isolation Ward,,,,
