animalInternalID,animalAID,name,litterGroupID,species,breed,age,animalDoB,sex,color,arrivalDate,status,sizeGroup,currentWeightPounds,altered,adoptionFeeGroupID,websiteMemo,lastIntakeDate,lastProfileUpdate,currentLocationTier1,currentLocationTier2,currentLocationTier3,currentLocationTier4,currentLocationTier5,behaviorCategory,kennelNumber,volunteerColor
50045485,104486.0,Edna,,Dog,"Terrier, Pit Bull/Mix",43,2020-07-24,Female,Blue/White,2022-05-21,Available (Shelter),Large (60-99),64.0,True,17723.0,"Edna: Gentle Giant + sweet soul. Edna loves wading in the water, playing fetch, and going for car rides
. 
Edna is also the perfect hiking partner! Her friends took her to McKinney Falls where she showed off her leash skills and her go with the flow attitude. 

Edna is GREAT with kiddos and would love to have them to dote over her. Bonus points if her humans are home more than they're away. Edna would be happy to part of the carpool! 

""Edna is a sweetheart that will make a great companion to a family who can give her all the attention she deserves. She also loves teenagers!"" -Stephanie, former foster

Edna quickly learns basic commands like sit and shake, and loves to add new tricks to her repertoire! To meet this smart and sweet gal, talk to a matchmaker today!",2022-05-21,2024-03-02 23:13:07,Dog,TLAC,Building 4/5,,,PG5 (CPR-OMuzz),19,Purple
16856627,77258.0,Poppy Seed,,Dog,Cattle Dog/Mix,65,2018-09-18,Female,Brown/Tan,2019-10-22,Healthy In Home,Medium (20-59),39.0,True,,,2019-10-22,2019-11-01 13:20:48,,,,,,EPG3,03,Blue
16112692,76654.0,Sploot,,Dog,"Retriever, Labrador/Mixed Breed (Large)",81,2017-05-14,Male,Red/Mahogany/None,2019-09-27,Healthy In Home,Large (60-99),73.0,True,,,2019-09-27,2019-10-27 13:09:27,,,,,,EPG3,06,Blue
67636280,118718.0,Chapo,,Dog,"Shepherd, German/Mix",84,2017-02-25,Male,Black/Brown,2023-02-21,Available (Shelter),Large (60-99),64.8,True,17723.0,"Chapo: a slow burn - love earned. Chapo is extremely sweet and affectionate once he gets to know you. He's super cute on walks and looks back at his human and 'checks in' with them to make sure they are okay. How considerate! After long walks he loves to relax on the couch and watch a good movie with his humans. He knows short word commands such as sit, go, and stay. Chapo is a play group rockstar here at APA! and has lots of doggie friends. And as a fun last touch, he loves pizza! Ask the Matchmakers about a meet and greet today!",2023-02-21,2024-02-24 13:56:51,Dog,TLAC,Building 1,,,PG3 (D-Med),140,Silver
10163261,69863.0,Po,10163175.0,Dog,Hound/Mix,61,2019-01-17,Male,White/Black,2019-10-14,Healthy In Home,Medium (20-59),55.0,True,,,2019-10-14,2019-10-23 17:25:44,,,,,,EPG2 (PUPPY),199,Blue
50297407,104788.0,Azriel,50297493.0,Dog,Weimaraner/Mix,27,2021-11-09,Male,Silver/None,2023-10-08,Available (Shelter),Medium (20-59),52.4,True,199281.0," Meet Azriel, a delightful 2-year-old male Weimaraner/Mix with a heart as big as his playful spirit. Azriel is a charming blend of curiosity and affection, always ready to explore the world with his bright, soulful eyes and wagging tail. This handsome boy loves to romp and play, making him the perfect companion for an active family or individual seeking adventure and companionship. He's eager to learn and is ready to steal your heart with his endearing personality and unwavering loyalty. 

Azriel's ideal new home will be one with a yard, active parent(s) who like playing with him, and no children. He would love to have a dog brother or sister to play with! Come meet this adorable boy!",2023-10-08,2024-03-04 18:27:23,Dog,TLAC,Building 3,,,EPG4 (D),218,Silver
69968449,130139.0,Splitz,69968360.0,Dog,Shepherd,13,2023-01-11,Male,Brown/None,2024-01-20,Available (Shelter),Medium (20-59),30.2,True,199281.0,At first glance you may not notice Splitz has any faults. He is so great and social with other dogs that it is hard to believe his character differs in the presence of humans. Abandoned at only three months in the shelter with two siblings. It has taken a lot of patience to overcome his fear of people. We are not sure of his past but we do know he needs love. Splitz is a work in progress that would greatly benefit getting out of the shelter. Ask about him today!,2024-01-20,2024-03-06 00:24:23,Dog,TLAC,Building 2,,,EPG2,197,Yellow
84009026,130816.0,Halftime Show,84009026.0,Dog,Shepherd/Mix,48,2020-02-12,Female,Tan/White,2024-02-11,Available (Shelter),Medium (20-59),39.2,False,199283.0,,2024-02-11,2024-02-27 02:13:02,Dog,TLAC,Building 1,,,EPG3,112,Blue
24597573,88471.0,Isabelle,24597665.0,Dog,"Terrier, Pit Bull",67,2018-07-22,Female,White/Brown,2022-12-08,Available (Shelter),Medium (20-59),57.0,True,17723.0,"Meet Isabelle, a delightful white and tan companion ready to fill your home with love! Isabelle is an independent spirit who thrives when given the space to be herself. She excels in house training, making her an excellent addition to any household.

Isabelle is a charming solo act, making her the perfect fit for a home where she can bask in all the doggy attention. While she's learning to navigate the complexities of anxiety, her resilient spirit shines through as she bravely copes and adapts. Isabelle's endearing personality and eagerness to connect make her an ideal furry friend for someone seeking a devoted canine companion. If you're ready to provide a loving and patient environment, Isabelle is prepared to be the shining star in your heart and home! Inquire today!",2022-12-08,2024-03-03 00:17:01,Dog,TLAC,Building 2,,,PG5 (Muzzle),175,Silver
16751688,77028.0,Jetta,,Dog,"Shepherd, German/Husky, Siberian",65,2018-09-14,Female,Black/Tan,2019-10-22,Healthy In Home,Medium (20-59),45.0,True,,,2019-10-22,2019-11-06 13:56:43,,,,,,EPG1,224,Pink 
56332361,110154.0,Jingle,,Dog,"Terrier, American Pit Bull",69,2018-05-24,Female,Black/White,2022-12-31,Available (Shelter),Medium (20-59),41.25,True,17723.0,"What's that sound you hear? No, it's not a sleigh pulled by reindeer, it's Jingle!

""Jingle is a cuddle bug and loves a good head rub, said Jingle's former foster. ""She also likes to tip over head first in my lap and stick her butt in the air for some nice butt scratches!

- Jingle's favorite pastime is digging for treats in her snuffle mat. She's never turned down a kong filled with frozen peanut butter either!
- After playing fetch and wading in her doggy pool, Jingle loves to snuggle up with her person on the couch.
- This pup's at the top of her class, knowing sit and lie down. She'd love for you to teach her more tricks!

If she sounds like your type of gal, Jingle all the way to APA to meet her today!",2022-12-31,2024-03-05 22:46:11,Dog,TLAC,Building 4/5,,,PG5 (OMuzzle),06,Silver - CIN
72178761,123801.0,Mama,72178761.0,Dog,Mixed Breed (Medium),44,2020-06-06,Female,Brown/White,2023-06-11,Available (Shelter),Large (60-99),66.2,True,199281.0,"Mama
Mama is a very obedient girl. On sleepovers she is discovering that people can actually be kind, loving, and safe. She was mistreated in her past. Mama was nervous when first going on leash walks. Walking with another dog helped her gain confidence and she now is a great walking companion. She is a smart lady who understands many basic commands, including ""stay"" ""sit"" and ""down."" She does well when left alone, gated in her own little area. She is a playgroup rockstar and has many doggie friends here at APA!",2023-06-11,2024-02-26 19:12:39,Dog,TLAC,Building 1,,,EPG3,118,Yellow
61858892,114271.0,Nubs,,Dog,"Shepherd, Australian/Retriever, Golden",86,2016-12-23,Male,Tan/White,2022-10-22,Available (Shelter),Medium (20-59),57.4,True,14274.0,"Say hello to Nubs! If Nubs had a love language, it would most certainly be physical touch! He's a real lovebug that can never get enough pets and loves giving kisses! Nubs has been described as goofy, easy-going, and affectionate. There's not a box this boy can't check! He would do especially well in a calmer, low traffic home with older, more mature kids. 


~ 6-year-old  golden retriever/australian shepherd mix - Playgroup rockstar! 

~ SUPER affectionate and sweet (very cuddly)!

~ House-trained and does well when left alone

~ likes fetch, tug of war, and chasing squeaky toys

 ~ knows sit, stay, down, come and shake!

ASK ABOUT NUBS TODAY!",2022-10-22,2024-02-24 14:59:57,Dog,TLAC,Building 2,,,PG3 (CD),177,Silver
74162254,125393.0,Neo,,Dog,"Husky, Siberian/Retriever, Labrador",31,2021-07-08,Male,Tan/White,2023-08-01,Available (Shelter),Medium (20-59),67.0,True,199281.0,"Hello my name is Neo, it is nice to meet you. I haven't been feeling myself because I am stressed out and having a hard time eating in the shelter environment. I am fearful of strangers so I need a patient friend who will respect my boundaries and love me as I am. Once I get to know you, I am loving and playful. I love baby talk, yummy treats, and patient people. I am also a play group rockstar and do great with all my doggie friends here at APA! Please talk to a matchmaker today if you want to be my friend.",2023-08-01,2024-03-04 19:12:49,Dog,TLAC,Building 2,,,EPG5,183,Silver - CIN
66649680,117832.0,Pelota,,Dog,Terrier/Boxer,27,2021-11-17,Male,Black/White,2023-02-06,Available (Shelter),Medium (20-59),53.0,True,17723.0,"Hey ya'll! My name is Pelota and I'm looking for a person who loves long walks and snuggles, I love meeting new people. I am super food motivated and love to learn new tricks. I have a great loose leash walk and know some basic obedience already! Will you be my favorite human and give me all the belly rubs and snacks?",2023-02-06,2024-03-05 01:52:28,Dog,TLAC,Building 2,,,[BMOD-threshold],187,Silver - CIN
2469482,54076.0,Campbell,2469482.0,Dog,Mixed Breed (Medium),78,2017-08-22,Female,Brown/Black,2023-11-27,Available (Shelter),Medium (20-59),38.5,True,199281.0,"Campell loves to be brushed and work for yummy treats. She also enjoys fetch, running around, and naps once she is all worn out! Can you take Campbell home and be her new playmate?",2023-11-27,2024-03-04 02:25:32,Dog,TLAC,Building 1,,,EPG2,108,Yellow
83841644,130730.0,Smoochi Roo,,Dog,Chow Chow,46,2020-04-10,Male,Black,2024-02-07,Available (Shelter),Medium (20-59),38.0,True,199281.0,"- very shy and very sweet
- holds it to potty outside
- learning how to trust and how to dog very quickly ",2024-02-07,2024-03-05 22:10:13,Dog,TLAC,Building 2,,,EPG5,195,Yellow
57445494,111376.0,Widget,,Dog,"Collie, Border/Mixed Breed (Medium)",46,2020-04-26,Male,Black/White,2022-11-29,Available (Shelter),Medium (20-59),58.6,True,16268.0,"Meet Widget - a silly boy who's sure to steal your heart! Widget is a goofy, energetic pup who loves to learn. He knows basic commands, and is house-trained. He loves to play! He's looking for his very own forever family who loves long walks and swimming as much as he does, and who will give him lots of pets! Come by today to meet this affectionate, water loving guy!",2022-11-29,2024-02-24 16:54:27,Dog,TLAC,Building 2,,,PG3,165,Silver - CIN
16856696,77259.0,Skips,,Dog,"Terrier, American Pit Bull",76,2017-10-01,Female,White/Black,2019-10-22,Healthy In Home,Medium (20-59),49.0,True,,,2019-10-22,2019-11-02 13:14:52,,,,,,EPG3,45,Blue
47605373,102972.0,Big Dawg,,Dog,Shepherd,27,2021-10-30,Female,Brown/Black,2023-09-27,Available (Shelter),Medium (20-59),51.0,True,17723.0,Big Dawg has a huge heart and is very affectionate! She adores her humans and always wants to play with both people and other dawgs. She is an active girl who loves outside time and has been really enjoying playgroup here at APA! Come ask about this sweetheart so she can become part of your family!,2023-09-27,2024-02-24 18:37:46,Dog,TLAC,Building 3,,,EPG3 (Med),265,Silver - CIN
1653894,48431.0,Carley,,Dog,"Terrier, Pit Bull/Mix",99,2015-11-06,Female,Brown/None,2019-10-21,Healthy In Home,Medium (20-59),50.0,True,,"Carley is a mellow lady, but that doesn't mean she doesn't want attention from her human friends. Give her some petting and her eyes light up, tail all a'wag!

This beautiful girl is forming a fan club. Carley has been invited out to coffee by one of her closest human friends at the shelter, and they have discovered she's a traffic-stopper! When she goes for a walk down a busy Austin street, people stop to admire her and compliment her looks. Carley was very polite to her adoring fans, letting them pet her and rejoice in her go-to attire: a tutu. 

Carley assists to our daily playgroup, so going home with a canine sibling is a possibility. Older children that understand boundaries are sure to win her over. She also seems to be house trained.  This beauty is the complete package!

Come meet this stunner; she'll be proud to let you show her off around town!",2019-10-21,2019-10-26 17:57:28,,,,,,EPG3,183,Orange
1428114,45339.0,Mycah,,Dog,"Retriever, Black Labrador",88,2016-10-15,Male,Black/White,2023-04-18,Available (Shelter),Large (60-99),89.8,True,14274.0,"My guy: Mycah. He's the tall, dark, and handsome boi of your dreams.  Mycah is ready for a new bestie and a new crib. Mycah is TOP Dog trained so he is basically a genius but he specializes in kisses and snuggles! He is a dreamboat who loves exercise and is ready to be your next running partner. He'll even throw his ears back for maximum aerodynamics! The only thing Mycah doesn't understand is that he is not lap sized because he sees himself as a lapdog. 
Mycah has the potential to live with well matched dog friends but would do best in an adult only home. Look into his eyes and you'll see that Mycah is full of love and playfulness. Talk to a matchmaker today to meet this dreamy man!
",2023-04-18,2024-03-04 19:02:50,Dog,TLAC,Building 4/5,,,PG5 (Transition - OMuzz),23,Silver - CIN
83344018,130402.0,Ruston,83343596.0,Dog,Mixed Breed (Medium),5,2023-09-11,Male,Black/White,2024-01-28,Available (Shelter),Medium (20-59),23.0,False,199283.0,,2024-01-28,2024-03-04 00:24:59,Dog,TLAC,Building 3,,,EPG2 (Puppy),263,Pink 
16936092,77367.0,Archibald,,Dog,Carolina Dog/Mix,113,2014-09-25,Male,Red/Mahogany/None,2019-10-28,Healthy In Home,Medium (20-59),48.0,True,,"Archibald enjoys learning new things and is in APA!'s Total Obedience Program (TOP), which is modeled after the AKC's Canine Good Citizen (CGC) test.  As a TOP dog, he has a personalized training plan and works with a volunteer trainer several times a week to help him learn skills like walking nicely on leash, sitting calmly when approached by strangers or other dogs, staying in a sit or down until told ""free,"" coming when called and ""place,"" which means he will go to a specific place in your home on command.

As part of APA's Total Obedience Program you can work with APA staff to continue to build a training relationship with Archibald after adoption and master all the TOP dog skills together.  Check out a video on APA's CGC program, on which the TOP was based: https://vimeo.com/89434193 
",2019-10-28,2021-10-07 13:29:38,,,,,,PG5a,37,Silver
82851487,130009.0,Froggy,,Dog,"Terrier, Pit Bull",49,2020-01-17,Male,Grey/White,2024-01-18,Available (Shelter),Medium (20-59),59.0,True,199281.0,,2024-01-18,2024-03-01 20:27:10,Dog,TLAC,Building 4/5,,,PG5 (Muzzle),10,Silver
71015586,122897.0,Spinach,,Dog,"Pyrenees, Great",11,2023-03-19,Male,White/None,2023-11-29,Available (Shelter),Large (60-99),60.0,True,199281.0,"Meet Spinach, a charming and playful pup with a unique feature - he has only one eye! But don't let that fool you, as he is full of energy and loves to play tug of war and chase flies in the great outdoors. His goofiness is sure to keep you entertained, especially when he tries to clumsily jump on the couch or shows his excitement through hilarious facial expressions. 

Spinach is a well-trained dog, he is house-trained and has mastered the ""sit"" command. He responds well to positive reinforcement and is highly motivated by food... aren't we all? 

However, Spinach needs to live in a household with adults and kids old enough to respect his space when he is eating and understand that he doesn't like to share his things. But don't let that discourage you, as he is a loyal and loving companion who will make an amazing buddy on walks and romps around the backyard. ",2023-11-29,2024-02-28 21:52:09,Dog,TLAC,Building 4/5,,,PG4 (Puppy),17,Yellow
9935014,69440.0,Clef,9572599.0,Dog,Cattle Dog,61,2019-01-11,Male,Brindle/None,2020-05-10,Available (Foster),Medium (20-59),76.4,True,17723.0,"This Clef is so much more than a musical symbol. He has skills, smarts and the best ears in town.

This fun-loving pup has a ton of training under his belt and loves to learn a new trick.  ""Clef is a big love bug and just wants to play with his person,"" says one of his pals Ashley. ""He is incredibly smart, treat motivated and loves to learn new tricks!"" This genius knows to sit, lie down, stay, get the ball and when it's time to 'play'! Plus, he is eager to learn more commands. Clef's favorite snack is peanut butter and he can be happily occupied by a fun puzzle toy stuffed with this tasty treat. 

He is also always happy to give his brain a rest and hang out with his favorite people. He is currently in foster and loves his foster dad who is his best friend. He waits politely while his foster gets his work done for the day and then knows it is time to hang. He loves a good game of tug or fetch and then time to relax. Clef knows the basic rules of being the best boy in a home. He is also always happy to meet a new person when friends come over to his foster home. 

If you think Clef could be your sidekick, tutor, workout buddy, good looking sidekick, cuddle buddy, couch warmer, cooking partner or anything else that is better with a friend, come meet Clef! He would love to find his forever buddy.",2020-05-10,2024-03-05 23:45:55,,,,,,PG5 (OMuzzle),131,Silver - CIN
78484647,128259.0,Toby,,Dog,"Shepherd, Anatolian/Mix",29,2021-09-05,Male,White/Tan,2023-11-02,Available (Shelter),Medium (20-59),62.1,True,199281.0,"Hello I'm Toby!
My story is a sad one and I've never got to experience a home where I was loved and had consistent meals so I'm constantly looking for food. I need someone to take me home and show me what love and stability feels like.
-Potty Trained
-I am super smart and learn quickly
-I love affection 
-I know basic obedience ",2023-11-02,2024-02-25 11:25:10,Dog,TLAC,Building 4/5,,,PG5 (Transition),36,Yellow
1609896,47175.0,Frodo,,Dog,"Terrier, Pit Bull/Mix",109,2015-01-12,Male,Red/Mahogany/White,2021-04-28,Available (Shelter),Medium (20-59),47.8,True,14274.0,"Frodo is such an intelligent ray of sunshine and a character all of his own. He loves his lounge time with toys and is always up for a good puzzle. He's inquisitive and perceptive and has his own portfolio of fun expressions he communicates with. On a typical day, he likes to walk around outside his surroundings sniffing about and when he's done he likes a nice laydown nap or some time with his favorite toys. He really enjoys a good play time once in a while with some fetch or tug of war. 

""Frodo perfectly encapsulated a diamond in the rough when he was first welcomed into APA, but with so much affection and training he shines so bright, you just wouldn't believe it!"" Carrie, staff trainer

What's home life look for Frodo? Crate trained-sure and he's happy to find a new napping place every couple of hours when you're gone. Got a yard? He'll keep it squirrel free and enjoy a nice place to take a midmorning nap. As along as his meals are on time, Frodo can fit into most households!

Frodo is a top-tier companion who may be too smart for his own good sometimes but thats why we love him. He has so much love and gratitude for his caregivers and will love you as you've never seen something love before.  ",2021-04-28,2024-02-24 16:08:37,Dog,TLAC,Building 1,,,[BMOD-offleash],115,Red
79225513,128663.0,Stefka,,Dog,"Retriever, Yellow Labrador/Terrier, Pit Bull",22,2022-04-09,Female,Tan,2023-11-22,Available (Shelter),Large (60-99),63.2,True,199281.0,"Stefka is almost 2 years old. She is a pretty girl living in a lonely world looking for a foster who will take her in. Stefka is potty-trained and super affectionate to her humans.

She still has that young pup energy and needs someone who can teach her a thing or two about growing up to be the best dog ever. Stefka loves her toys and loves you just as much if you take her home. 

Stefka is a Labrador retriever/terrier mix. How cute would this lovely girl look romping around with her toys in your backyard or by your side on a walk? Come to APA and ask about Stefka.
",2023-11-22,2024-03-04 21:29:40,Dog,TLAC,Building 1,,,PG5 (Transition - CD),154,Silver
62355627,114765.0,Kelso,,Dog,"Malinois, Belgian",22,2022-04-07,Male,Brown/None,2024-01-23,Available (Shelter),Large (60-99),64.6,True,199281.0,"-Potty Trained

-Active lifestyle 

- Crate Trained 

-Cuddle score 10/10!

-Dog social ",2024-01-23,2024-03-02 23:00:28,Dog,TLAC,Building 4/5,,,PG4,60,Silver - CIN
49812651,104342.0,Helmar,,Dog,"Shepherd, German/Mix",47,2020-03-25,Male,Black/White,2022-04-03,Available (Shelter),Large (60-99),67.4,True,17723.0,"Meet Helmar! A 3 year old dog who is looking for his forever home. His energetic spirit and smart mind make every day an adventure. What truly sets Helmar apart is his resilience and unwavering spirit, as he has been living in the shelter for almost 2 years now. He's truly a testament to the saying 'Every dog has their day', and we believe Helmar's day is just around the corner. He's ready to bring joy, love, and a touch of adventure to a loving home. Adopt Helmar and let him fill your life with his boundless energy and curiosity! Could you be the family that this handsome man has been waiting for? Talk with a Matchmaker today to meet him!
",2022-04-03,2024-03-05 22:48:18,Dog,TLAC,Building 3,,,EPG5 (CD-OMuzzle),210,Yellow - CIN
16800941,77133.0,Zeus,,Dog,"Retriever, Labrador/Mix",76,2017-09-28,Male,Black/White,2019-10-18,Healthy In Home,Large (60-99),63.4,True,,,2019-10-18,2019-10-25 16:31:53,,,,,,PG3(D),215,Silver
69742259,121342.0,Momo,,Dog,"Retriever, Black Labrador/Terrier, Pit Bull",34,2021-04-08,Male,Black/White,2023-04-18,Available (Shelter),Large (60-99),67.0,True,16268.0,"This handsome guy is Momo! Momo is a 2 year old lab mix who is looking for his forever home. His ideal home would be a loving and active family with kids over the age of 12 (and people who LOVE to play 2 tennis ball fetch- as that seems to be a favorite activity of his!). He could also live with a well matched doggie friend. Momo needs a break from the shelter, so consider taking him home for a sleepover to get to know him better- he would love to meet you! Talk with a Matchmaker about Momo today!",2023-04-18,2024-02-25 17:07:31,Dog,TLAC,Building 3,,,PG5 (Med),223,Silver
78693051,128395.0,Campion,,Dog,Shepherd,32,2021-06-12,Male,Brown/Black,2023-11-09,Available (Shelter),Large (60-99),69.0,True,16268.0,Handsome Campion is one good fella. He seems to be potty trained and a super smart guy eager to continue to learn new commands. He enjoys having structure and a routine. He loves going on walks and is great on a harness. He is a snuggle muffin who will lean in for affection and take all he can get. He's just a boy standing in a kennel...asking for a foster to love him.,2023-11-09,2024-02-26 09:31:38,Dog,TLAC,Building 1,,,PG4 (OMuzzle),103,Silver - CIN
20796605,80439.0,Camber,20796478.0,Dog,"Shepherd, German",49,2020-01-23,Female,Tan/None,2023-03-23,Available (Shelter),Large (60-99),76.0,True,17723.0,"Perk your ears up for Pot O' Gold, who now goes by Camber! This 3-year-old lady hopes it's her lucky day and gets to meet her best friend. Find a home, a place to rest, a yard to play in, and a family to snuggle with. She is a smart girl with the potential of having such a bright future. She is crate trained and knows commands like ""sit, ""lay down, and ""shake with both paws!

She is getting better at walking on a leash and learning not to be reactive/distracted when other dogs pass by. Camber enjoys playgroup and gets along well with other on-site pups. She knows how to let her people and dog friends know when she wants her boundaries respected. Again, one smart pup. 

Camber is ready to show you how much love she has to give! She would thrive with humans who like to spend quality time with her.
Stop by APA! and meet this sweet girl. She is waiting. ",2023-03-23,2024-03-03 00:14:57,Dog,TLAC,Building 2,,,PG4 (D),164,Yellow
